Intercept,f2,f1,gdpgr2,gdpgr1,gdpgr,pconsump2,pconsump1,pconsump,cpi2,cpi1,cpi,Unemploy2,Unemploy1,Unemploy,m3tb2,m3tb1,m3tb,tb10y2,tb10y1,tb10y,aa10y2,aa10y1,aa10y,gpdinv2,gpdinv1,gpdinv,tvar,trvar,ivar,irvar,tcorr,rcorr
-0.088528098,0,0.753652215,-0.066323209,0,0,0,0,0,-0.008624525,0,0,0,0,0,0,-0.680051993,0.876900941,0,-0.269592806,0.344103785,0,0,0,0.020583057,-0.010143604,0,4.93659829,1.532205458,0.019196918,0.019473184,8.57E-17,0.271893866
-0.204497744,0,0.796133964,0,0,0,0,0.112156276,0,0,0,-0.077022888,0,0,0,0.151661683,-0.750298973,0.715297899,0,-0.527443142,0.633198554,0,0,0,0.004860719,0,0,4.915333867,1.595195674,0.026056371,0.019436625,4.52E-17,-0.218547587
-0.226834331,0,0.754043096,0,0,0,0,0.107583375,0,0,0,-0.084093886,0,0,0,0.166685581,-0.658633843,0.60747013,0,-0.616047847,0.774159015,0,0,0,0,0,0,4.590698277,1.533832245,0.023183921,0.023303022,-8.30E-18,-0.249021211
-0.241537831,0,0.735556245,0,0,0,0,0.135384434,0,0,0,-0.058315552,0,0,0,0.08368602,-0.343174806,0.311871722,0,-0.734591343,0.966696318,0,0,0,0,0,-0.018192589,3.89492169,1.300695706,0.009361755,0.011227127,9.03E-17,0.036903138
-0.051533437,0,0.79098459,0,0,-0.041924524,0,0.042060128,0,0,0,-0.067019447,0,0,0,0,-0.105162794,0.129114434,0,-0.822653707,1.021509817,0,0,0,0,0,0,3.412765371,1.170420642,0.003548629,0.003786664,5.51E-17,0.179597032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.031771754,0,0.849349122,0,0,0,0,0,0,0,-0.058040145,0,0,0,0,-0.049525224,0.226757548,-0.184411967,0,-0.758880635,0.919221001,0,0.035345069,0,0,0,0.009133078,2.373985513,0.883921479,0.007093412,0.007361883,-4.11E-17,-0.398815892
0.218719437,0,0.780352799,0,0,-0.069667909,0.048163851,-0.10418961,0,0,-0.050731144,0,0,0,0,-0.083171969,0.281354688,-0.215970282,0,-0.654180029,0.878565483,0,0.08925815,-0.076713254,0,0,0.028145317,2.231815669,0.900014781,0.007869143,0.012952608,-4.67E-17,-0.287613884
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.176149809,0,0.871495436,-0.161591391,-0.106726783,0,-0.029626931,0.142496006,0,-0.164562699,-0.057752534,0.007406002,0,0,0,0,-0.217988183,0.247498322,0,0.143638913,-0.165219041,0.021968485,-0.77280019,0.764951547,0.018773915,0,0,0.322356936,0.876154885,0.02150152,0.044362483,1.96E-18,-0.01521933
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.06297655,0,0.759845844,-0.16576921,0,0,0,0.111512276,0,-0.158179664,0,0,0,0,0,0,-0.195832574,0.274215435,0,0.162155853,-0.229741777,0,-0.650833609,0.9095412,0.021379649,0,0,0.59173134,1.417803988,0.028951653,0.063878729,4.30E-17,-0.113903544
0.005074435,-0.212140688,0.915695737,0,0,0,-0.011700982,0,0,0,0.044068933,0,0,0.065208878,-0.074792469,0,0.045381948,-0.05409628,0,0,0.009124544,-0.026668491,0.050676282,0,0,0,0,0.004881853,0.02156209,0.001570939,0.007187444,1.07E-17,0.321586593
-0.098208373,0,0.587962673,-0.144971763,-0.126735102,-0.024389921,0,0.208952355,0,-0.152068556,-0.176346101,0,0,0,0,0,-0.186920799,0.283270019,0,0.181571187,-0.255291093,0,-0.692335711,1.25077148,0.012696417,0.00036127,0,0.858832022,2.40232468,0.025949315,0.061283262,3.86E-17,-0.048033744
-0.089127937,0,0.62206013,0.007890298,0,-0.019578563,-0.025163225,0,0.048023209,0.019360204,0,-0.027211627,0.064886135,0,-0.082838339,0,0.046967649,-0.059684209,0,0,0.02668674,0,0.051241775,0.05310437,0,0,0,0.010141513,0.008637867,0.002240547,0.006146887,9.33E-18,-0.092274527
0.10063954,0,0.524145365,0,-0.133913568,-0.112662602,0,0.314562565,0,-0.031877886,-0.255120508,-0.276892746,0,0,0,0,-0.20735867,0.249919626,0,0.388168055,-0.425876735,-0.257256587,0,0.983408417,0,0,0,1.126799083,3.540160773,0.041602767,0.022166455,6.05E-17,0.086807182
0.202290374,-0.096243835,0.652607482,-0.041624262,0,-0.110233226,0,0.024165006,0,-0.054216798,0,-0.097569572,0,0,-0.07135856,0,0,-0.049469893,0.081740351,0,0,0.150755807,0,0,0,0,0.025621338,0.048252858,0.024702575,0.012611102,0.011766294,-1.96E-17,-0.331184007
0.261252524,0,0.905761213,0,0,0,0,0,0,0,0.163930047,0,0,0,-0.019155301,0.058370553,0,-0.084993596,0,0,0,0,0,0,0,0,0,0.237085332,0.571898803,0.031362509,0.144432724,7.49E-17,0.001476099
-0.215875534,0,-0.162387047,6.725666507,2.077632736,1.240648661,-3.492323099,0,0,5.909788188,1.059674338,0,1.130936678,0,0,0,0,0,0,-4.454756109,4.050348096,0,0,-5.147685647,-1.385799823,-0.209192815,0,24.2333261,66.20329236,34.48023018,29.96384868,-1.59E-16,0.379933487
2.348251622,0,0,0.374960882,0,0,-0.239441439,0,0,0.39511459,0,-0.22842331,0,0,0,0,0,0.088071062,0,-0.326804229,0,0,0,-0.005754704,-0.063164439,0,0,0.108810465,0.152834338,0.106379491,0.148585281,3.54E-17,0.18581509
-15.05927687,-0.141006153,-0.33598663,5.442469171,0,0,0,0,6.625999911,4.007365144,0,0,0,0,2.46458253,0.92701172,0,0,-5.77932113,-5.03609547,8.545596848,-0.294147741,0,0,-0.876558122,0,0,53.68440517,169.2926759,34.39683958,31.68283079,1.27E-16,0.068739984
2.129055605,-0.134882607,0,0.529728451,0,0,-0.325462013,0,0,0.370559797,0,0,0,-0.459696506,0.558758505,0.146280181,-0.284407879,0.251375922,0,-0.411991252,-0.008932161,0,-0.569715136,0.358635515,-0.052040514,0,0,0.139132524,0.204422977,0.086884431,0.11638059,1.21E-16,-0.167497782
-19.71309517,-0.176681555,-0.500518456,8.082586061,3.272409544,3.606052857,-2.004122954,3.107047219,6.0256209,7.532073771,0.305304684,-2.071832905,1.069059961,-2.046350589,3.495901193,1.771728041,3.659206287,-4.449088061,-6.573346346,-6.575038059,10.41423124,7.640256766,-4.42271307,-2.420337747,-0.907999143,-0.489320611,0.003484144,74.91263508,212.8056254,23.52265084,17.20610194,-8.26E-17,0.045367442
1.423606636,0,0.411310119,0,0,-0.157517299,0,0,0.251480518,0,0,-0.140677581,0,0,0,0,0.195196542,-0.187691842,0,0,0,0,0.417190983,0,0,0,0.032162168,0.167750494,0.124151683,0.034430881,0.047390695,-1.07E-16,0.11754989
3.424746939,0,-0.143098941,0,0,0,0,0,0,0,0,0.735506476,0,0,0,-6.448600407,5.811722974,0,0,0,0,9.04512911,-10.16790054,0,0,0,0,37.16416437,134.4057158,24.6966197,38.52450378,-2.54E-17,0.212525614
0.0482932,0.419195876,0.482314786,0,0,0,0,0,0.081221824,0,0,-0.090916111,0,0,0,0,0,0,0,0,0,-0.243297047,0.272824527,0,0,0,0,0.145223589,0.144577655,0.035952213,0.033586446,-9.96E-17,-0.530019913
